商品ID,商品名,卸業者,分類,主な原材料または品種,規格,グラムもしくはリットルあたりの単価,数量,単価(税別),金額(税別),日付,備考
NH075,タルタルソース,肉のハナマサ,調味料,ソース,,,1.0,258,258,2025-10-08,軽減税率8%対象
NH076,麻辣麻婆,肉のハナマサ,調味料,麻婆ソース,,,1.0,258,258,2025-10-08,軽減税率8%対象
NH077,芝麻醬,肉のハナマサ,調味料,麻醬,200g,2.74,1.0,548,548,2025-10-08,軽減税率8%対象
NH078,一味唐辛子,肉のハナマサ,調味料,唐辛子,,,1.0,648,648,2025-10-08,軽減税率8%対象
NH079,糸唐辛子,肉のハナマサ,調味料,唐辛子,,,1.0,548,548,2025-10-08,軽減税率8%対象
NH080,三温糖,肉のハナマサ,調味料,砂糖,1000g,0.37,1.0,368,368,2025-10-08,軽減税率8%対象
NH081,長芋,肉のハナマサ,野菜,長芋,,,1.0,680,680,2025-10-06,軽減税率8%対象
NH081,長芋,肉のハナマサ,野菜,長芋,,,1.0,780,780,2025-10-09,軽減税率8%対象
NH081,長芋,肉のハナマサ,野菜,長芋,,,1.0,680,680,2025-10-21,軽減税率8%対象
NH081,長芋,肉のハナマサ,野菜,長芋,,,1.0,680,680,2025-10-24,軽減税率8%対象
NH081,長芋,肉のハナマサ,野菜,長芋,,,1.0,680,680,2025-10-31,軽減税率8%対象
NH082,静岡ザク切り本わ,肉のハナマサ,野菜,本わさび,,,1.0,280,280,2025-10-06,軽減税率8%対象
NH082,静岡ザク切り本わ,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-16,軽減税率8%対象
NH082,静岡ザク切り本わ,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-24,軽減税率8%対象
NH082,静岡ザク切り本わ,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-27,軽減税率8%対象
NH082,静岡ザク切り本わ,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-29,軽減税率8%対象
NH083,冷凍バゲット（口）,肉のハナマサ,加工品,小麦,,,1.0,280,280,2025-10-06,軽減税率8%対象
NH084,豚小間切肉,肉のハナマサ,肉類,豚肉,,,1.0,1347,1347,2025-10-01,軽減税率8%対象
NH085,陳健一 僕の大好物,肉のハナマサ,加工品,,,,1.0,328,328,2025-10-01,軽減税率8%対象
NH086,ビズーレペーパー,肉のハナマサ,日用品,ペーパー,,,1.0,128,128,2025-10-01,10%対象
NH086,ビズーレペーパー,肉のハナマサ,日用品,ペーパー,,,1.0,128,128,2025-10-10,10%対象
NH086,ビズーレペーパー,肉のハナマサ,日用品,ペーパー,,,1.0,148,148,2025-10-27,10%対象
NH086,ビズーレペーパー,肉のハナマサ,日用品,ペーパー,,,1.0,148,148,2025-10-30,10%対象
NH087,アボカド袋,肉のハナマサ,野菜,アボカド,,,2.0,298,596,2025-10-02,軽減税率8%対象
NH088,いちじく,肉のハナマサ,果物,いちじく,,,1.0,680,680,2025-10-02,軽減税率8%対象
NH088,いちじく,肉のハナマサ,果物,いちじく,,,1.0,680,680,2025-10-09,軽減税率8%対象
NH089,ファミリーポテ,肉のハナマサ,加工品,じゃがいも,,,1.0,229,229,2025-10-02,軽減税率8%対象
NH089,ファミリーポテ,肉のハナマサ,加工品,じゃがいも,,,1.0,229,229,2025-10-21,軽減税率8%対象
NH090,おいしいちくわ,肉のハナマサ,加工品,魚肉,,,1.0,209,209,2025-10-02,軽減税率8%対象
NH091,クラフトフィラデ,肉のハナマサ,乳製品,クリームチーズ,,,1.0,498,498,2025-10-02,軽減税率8%対象
NH091,クラフトフィラデ,肉のハナマサ,乳製品,クリームチーズ,,,1.0,498,498,2025-10-21,軽減税率8%対象
NH091,クラフトフィラデ,肉のハナマサ,乳製品,チーズ,,,1.0,498,498,2025-10-27,軽減税率8%対象
NH092,うすくち醤油,肉のハナマサ,調味料,しょうゆ,1000ml,0.23,1.0,228,228,2025-10-02,軽減税率8%対象
NH093,胡瓜,肉のハナマサ,野菜,きゅうり,,,1.0,498,498,2025-10-07,軽減税率8%対象
NH093,胡瓜,肉のハナマサ,野菜,きゅうり,,,1.0,398,398,2025-10-16,軽減税率8%対象
NH093,胡瓜,肉のハナマサ,野菜,きゅうり,,,1.0,450,450,2025-10-27,軽減税率8%対象
NH094,人参,肉のハナマサ,野菜,にんじん,,,1.0,380,380,2025-10-07,軽減税率8%対象
NH094,人参,肉のハナマサ,野菜,人参,,,1.0,250,250,2025-10-24,軽減税率8%対象
NH095,大根,肉のハナマサ,野菜,だいこん,,,1.0,298,298,2025-10-07,軽減税率8%対象
NH096,カットぶなしめじ,肉のハナマサ,野菜,ぶなしめじ,,,1.0,158,158,2025-10-07,軽減税率8%対象
NH096,カットぶなしめじ,肉のハナマサ,野菜,しめじ,,,1.0,180,180,2025-10-28,軽減税率8%対象
NH097,レモン,肉のハナマサ,野菜,レモン,,,1.0,680,680,2025-10-07,軽減税率8%対象
NH097,レモン,肉のハナマサ,野菜,レモン,,,1.0,680,680,2025-10-27,軽減税率8%対象
NH098,豚バラブロック,肉のハナマサ,肉類,豚肉,1005.4g,1.29,1.0,1297,1297,2025-10-07,軽減税率8%対象
NH098,豚バラブロック,肉のハナマサ,肉類,豚,1040.3g,1.29,1.0,1342,1342,2025-10-24,軽減税率8%対象
NH099,きびなご,肉のハナマサ,魚介類,きびなご,,,1.0,390,390,2025-10-07,軽減税率8%対象
NH099,きびなご,肉のハナマサ,魚介類,きびなご,,,1.0,390,390,2025-10-09,軽減税率8%対象
NH100,バタール,肉のハナマサ,加工品,パン,,,1.0,128,128,2025-10-07,軽減税率8%対象
NH100,バタール,肉のハナマサ,パン類,小麦,,,1.0,128,128,2025-10-29,軽減税率8%対象
NH101,わかばち,肉のハナマサ,加工品,,,,1.0,218,218,2025-10-07,軽減税率8%対象
NH102,お徳用 おろし生,肉のハナマサ,調味料,しょうが,,,1.0,388,388,2025-10-07,軽減税率8%対象
NH103,純粋はちみつ,肉のハナマサ,調味料,はちみつ,,,1.0,350,350,2025-10-07,軽減税率8%対象
NH104,根しょうが,肉のハナマサ,野菜,しょうが,,,1.0,280,280,2025-10-09,軽減税率8%対象
NH104,根しょうが,肉のハナマサ,野菜,しょうが,,,1.0,280,280,2025-10-28,軽減税率8%対象
NH105,塩味茶豆（自然解凍）,肉のハナマサ,冷凍食品,枝豆,,,1.0,298,298,2025-10-09,軽減税率8%対象
NH106,プラス糀 生塩糀,肉のハナマサ,調味料,こうじ,,,1.0,398,398,2025-10-09,軽減税率8%対象
NH107,ハラペーニョスライス,肉のハナマサ,調味料,唐辛子,340g,1.17,1.0,398,398,2025-10-09,軽減税率8%対象
NH108,スコッティファイン,肉のハナマサ,日用品,ティッシュ,,,1.0,160,160,2025-10-09,10%対象
NH109,不揃い生ハムロー,肉のハナマサ,加工品,豚肉,,,1.0,398,398,2025-10-10,軽減税率8%対象
NH110,冷凍バゲット（ロ）,肉のハナマサ,冷凍食品,小麦,,,1.0,280,280,2025-10-10,軽減税率8%対象
NH111,味の素アジパン,肉のハナマサ,調味料,調味料,,,1.0,368,368,2025-10-03,軽減税率8%対象
NH112,トマトパサータ,肉のハナマサ,調味料,トマト,690g,0.36,1.0,248,248,2025-10-03,軽減税率8%対象
NH112,トマトパサータ,肉のハナマサ,調味料,トマト,690g,0.36,1.0,248,248,2025-10-27,軽減税率8%対象
NH113,小玉たまごミック,肉のハナマサ,卵/乳製品,卵,,,1.0,138,138,2025-10-16,軽減税率8%対象
NH113,小玉たまごミック,肉のハナマサ,卵/乳製品,卵,,,1.0,158,158,2025-10-24,軽減税率8%対象
NH114,インデラカレー,肉のハナマサ,調味料,カレー粉,,,1.0,680,680,2025-10-16,軽減税率8%対象
NH115,玉三上新粉（国産）,肉のハナマサ,乾物,米粉,,,1.0,498,498,2025-10-16,軽減税率8%対象
NH116,北海道産きな粉,肉のハナマサ,乾物,大豆,,,1.0,98,98,2025-10-16,軽減税率8%対象
NH117,JM直火焼カレー,肉のハナマサ,加工品,カレー,,,1.0,299,299,2025-10-21,軽減税率8%対象
NH118,ぼたん焼ちくわ,肉のハナマサ,加工品,魚肉,,,1.0,179,179,2025-10-21,軽減税率8%対象
NH119,ひまわりとオリーブ,肉のハナマサ,調味料,植物油,916g,0.65,1.0,598,598,2025-10-21,軽減税率8%対象
NH120,米油,肉のハナマサ,調味料,米,1350g,0.73,1.0,980,980,2025-10-21,軽減税率8%対象
NH121,大根1/2カット,肉のハナマサ,野菜,大根,,,1.0,158,158,2025-10-24,軽減税率8%対象
NH122,柿,肉のハナマサ,野菜,柿,,,2.0,100,200,2025-10-24,軽減税率8%対象
NH123,冷凍バゲット,肉のハナマサ,加工品,小麦,,,1.0,280,280,2025-10-24,軽減税率8%対象
NH124,たら白子,肉のハナマサ,魚介類,たら,,,1.0,629,629,2025-10-27,軽減税率8%対象
NH124,たら白子,肉のハナマサ,魚介類,たら,,,1.0,783,783,2025-10-29,軽減税率8%対象
NH125,プロ仕様さば,肉のハナマサ,魚介類,さば,,,1.0,499,499,2025-10-27,軽減税率8%対象
NH126,風味とコクのデ,肉のハナマサ,調味料,ドレッシング,,,1.0,1198,1198,2025-10-27,軽減税率8%対象
NH127,チェリートマト,肉のハナマサ,野菜,トマト,,,1.0,350,350,2025-10-28,軽減税率8%対象
NH127,チェリートマト,肉のハナマサ,野菜,トマト,,,1.0,298,298,2025-10-31,軽減税率8%対象
NH128,なす,肉のハナマサ,野菜,なす,,,1.0,250,250,2025-10-28,軽減税率8%対象
NH129,子持ち浅別かれい,肉のハナマサ,魚介類,かれい,,,2.0,680,1360,2025-10-28,軽減税率8%対象
NH130,白菜浅漬,肉のハナマサ,漬物,白菜,,,1.0,318,318,2025-10-28,軽減税率8%対象
NH131,国産紅しょうが,肉のハナマサ,漬物,しょうが,,,1.0,128,128,2025-10-28,軽減税率8%対象
NH132,ピリ辛らっきょう,肉のハナマサ,漬物,らっきょう,,,1.0,198,198,2025-10-28,軽減税率8%対象
NH133,たまご,肉のハナマサ,卵/乳製品,卵,,,1.0,188,188,2025-10-28,軽減税率8%対象
NH134,ほんだし瓶,肉のハナマサ,調味料,かつおだし,,,1.0,268,268,2025-10-28,軽減税率8%対象
NH135,トムヤムペースト,肉のハナマサ,調味料,タイ調味料,,,1.0,498,498,2025-10-28,軽減税率8%対象
NH136,きざんだピクルス,肉のハナマサ,調味料,ピクルス,160g,1.86,1.0,298,298,2025-10-28,軽減税率8%対象
NH137,ケーパー,肉のハナマサ,調味料,ケーパー,100g,3.68,1.0,368,368,2025-10-28,軽減税率8%対象
NH138,わらさ,肉のハナマサ,魚介類,ぶり,,,1.0,1080,1080,2025-10-29,軽減税率8%対象
NH139,カルピス 白ペット,肉のハナマサ,飲料,乳酸飲料,,,2.0,348,696,2025-10-29,軽減税率8%対象
NH140,メバチマグロ（赤身）,肉のハナマサ,魚介類,まぐろ,,,1.0,532,532,2025-10-30,軽減税率8%対象
NH141,冷凍ボイルムール貝,肉のハナマサ,魚介類,ムール貝,,,1.0,960,960,2025-10-30,軽減税率8%対象
NH142,ほうれん草,肉のハナマサ,野菜,ほうれん草,496g,0.54,1.0,268,268,2025-10-30,軽減税率8%対象
NH143,キャノーラ油,肉のハナマサ,調味料,菜種油,1650g,0.36,1.0,588,588,2025-10-31,軽減税率8%対象
NH144,ミスターパック ビニール袋,肉のハナマサ,消耗品,ポリ袋,,,1.0,98,98,2025-10-31,10%対象
高畠001,高畠ワイナリー醸造所限定,高畠ワイナリー,酒類,ワイン,,,1.0,2800,2800,2025-10-12,内10%
高畠002,高畠ラ・クロチュア・エレクトリック,高畠ワイナリー,酒類,ワイン,,,1.0,5500,5500,2025-10-12,内10%
高畠003,山形のそば茶「でわかおり」,高畠ワイナリー,乾物,そば,,,1.0,648,648,2025-10-12,内8%
高畠004,米沢牛入りサラミ95g,高畠ワイナリー,加工品,牛肉,95g,6.59,1.0,626,626,2025-10-12,内8%
高畠005,山形グミ おきたまデラウェア,高畠ワイナリー,菓子,ぶどう,,,1.0,150,150,2025-10-12,内8%
高畠006,レジ袋,高畠ワイナリー,日用品,ポリ袋,,,1.0,1,1,2025-10-12,内10%
道の001,野菜類（2コ×単150）,道の駅めざみの里 観光物産館,野菜,不明,,,2.0,150,300,2025-10-13,内8%
道の002,名前のないふりかけ,道の駅めざみの里 観光物産館,乾物,ふりかけ,,,1.0,756,756,2025-10-13,内8%
道の003,カネジューニ三五八,道の駅めざみの里 観光物産館,調味料,こうじ漬けの素,,,1.0,450,450,2025-10-13,内8%
道の004,若乃井酒造 酒粕,道の駅めざみの里 観光物産館,加工品,酒粕,,,1.0,500,500,2025-10-13,内8%
道の005,蔵王ブルワリー,道の駅めざみの里 観光物産館,酒類,ビール,,,1.0,1330,1330,2025-10-13,内10%
